Player,Pos,Overall,Instincts,FirstStep,Speed,Hands,Release,ArmStrength,ArmAccuracy,Votes,Agreement,tangoid,Season,Team,PositionSpec,Age,GP,FGName,playerid,FGTeam
"Rabelo, Mike",C,18,10,26,25,11,15,25,15,18,0.66,7895,2008,FLO,16,NA,NA,Mike Rabelo,3693,Marlins
"Seop Choi, Hee",1B,NA,58,52,44,65,59,46,51,17,0.66,NA,2003,NA,NA,NA,80,Hee Seop Choi,270,Cubs
"Valentin, Jose",2B,56,63,53,52,59,57,52,59,21,0.71,4948,2006,NYN,NA,NA,NA,Jose Valentin,256,Mets
J Fiorentino,NA,57,55,65,66,56,49,48,51,15,0.7,NA,2005,BAL,NA,NA,NA,Jeff Fiorentino,8024,Orioles
O Quintanilla,NA,70,64,74,66,65,79,68,79,4,0.83,NA,2005,COL,NA,NA,NA,Omar Quintanilla,6335,Rockies
"Rivas, Luis",NA,54,34,39,72,58,69,56,62,18,0.48,NA,2004,MIN,NA,25,96,Luis Rivas,753,Twins
"Sullivan, Cory",CF,66,66,74,72,61,68,53,60,8,0.77,7346,2007,COL,NA,NA,NA,Cory Sullivan,1940,Rockies
"Bonds, Barry",LF,49,77,32,28,68,65,12,60,47,0.58,3918,2006,SFN,NA,NA,NA,Barry Bonds,1109,Giants
R Weeks,NA,42,34,67,87,5,10,64,8,27,0.66,NA,2005,MIL,NA,NA,NA,Rickie Weeks,1849,Brewers
"Martin, Russell",C,71,83,73,69,78,64,66,45,43,0.68,7628,2008,LAN,68,NA,NA,Russell Martin,4616,Dodgers
"Luna, Hector",NA,41,28,42,50,41,41,57,31,7,0.61,NA,2004,SLN,NA,24,41,Hector Luna,1874,Cardinals
"Hatteberg, Scott",1B,41,54,40,35,55,31,22,35,15,0.61,5514,2007,CIN,NA,NA,NA,Scott Hatteberg,916,Reds
"Church, Ryan",LF,44,40,47,50,43,42,48,35,32,0.74,7415,2007,WAS,NA,NA,NA,Ryan Church,2106,Nationals
L Terrero,NA,55,32,66,85,42,43,84,32,27,0.45,NA,2005,ARI,NA,NA,NA,Luis Terrero,1765,Diamondbacks
"Figgins, Chone",3B,58,54,71,85,36,49,62,44,25,0.63,6986,2007,ANA,NA,NA,NA,Chone Figgins,1580,Angels
"Nix, Laynce",NA,71,65,80,86,68,69,64,61,7,0.7,NA,2004,TEX,NA,24,98,Laynce Nix,1766,Rangers
"Sheffield, Gary",LF,49,58,50,51,42,48,48,35,18,0.7,4268,2007,DET,NA,NA,NA,Gary Sheffield,114,Tigers
R Furcal,NA,79,79,91,93,53,72,95,59,28,0.8,NA,2005,ATL,NA,NA,NA,Rafael Furcal,88,Braves
"Barajas, Rod",C,46,50,31,26,50,58,64,61,31,0.77,6368,2008,TOR,54,NA,NA,Rod Barajas,45,Blue Jays
"Pagan, Angel",LF,55,46,65,69,48,49,48,52,9,0.68,7717,2008,NYN,59,NA,NA,Angel Pagan,2918,Mets
"Diaz, Victor",NA,30,14,24,39,34,29,53,32,8,0.8,NA,2004,NYN,NA,23,12,Victor Diaz,3424,Mets
"Morneau, Justin",1B,55,66,44,37,72,56,51,57,26,0.74,7063,2008,MIN,58,NA,NA,Justin Morneau,1737,Twins
"Alfonzo, Eliezer",C,35,35,42,23,34,25,45,42,28,0.62,7787,2006,SFN,NA,NA,NA,Eliezer Alfonzo,2331,Giants
"Upton, Melvin",3B,55,55,78,84,23,27,82,12,8,0.5,7333,2006,TBA,NA,NA,NA,Melvin Upton,5015,Devil Rays
"Wilson, Dan",NA,48,53,35,27,67,64,37,53,10,0.63,NA,2004,SEA,NA,35,92,Dan Wilson,1102,Mariners
A Cora,NA,64,67,70,65,65,61,54,58,72,0.75,NA,2005,BOS,NA,NA,NA,Alex Cora,1386,- - -
"Theriot, Ryan",SS,67,72,66,70,67,72,49,70,30,0.69,7670,2007,CHN,NA,NA,NA,Ryan Theriot,3811,Cubs
"Huff, Aubrey",3B,31,32,26,27,31,28,39,42,45,0.75,6545,2008,BAL,33,NA,NA,Aubrey Huff,1213,Orioles
D Ross,NA,40,29,39,43,46,41,50,39,2,0.87,NA,2005,SDN,NA,NA,NA,David Ross,1551,- - -
"Jenkins, Geoff",RF,42,43,42,43,47,39,35,45,13,0.72,5948,2008,PHI,43,NA,NA,Geoff Jenkins,690,Phillies
"Blanco, Henry",C,NA,47,13,16,66,67,62,67,12,0.6,NA,2003,NA,NA,NA,109,Henry Blanco,81,Braves
"Taguchi, So",LF,31,25,43,56,14,33,10,29,11,0.78,6843,2008,PHI,38,NA,NA,So Taguchi,1186,Phillies
J Reyes,NA,77,69,90,92,61,66,92,62,74,0.77,NA,2005,NYN,NA,NA,NA,Jose Reyes,1736,Mets
"Sierra, Ruben",NA,17,11,19,25,9,13,34,10,22,0.62,NA,2004,NYA,NA,39,20,Ruben Sierra,1099,Yankees
J Bagwell,NA,58,91,61,58,80,55,0,16,14,0.72,NA,2005,HOU,NA,NA,NA,Jeff Bagwell,547,Astros
"Keppinger, Jeff",SS,44,44,41,42,47,45,37,51,12,0.77,7414,2007,CIN,NA,NA,NA,Jeff Keppinger,3856,Reds
"Tejada, Miguel",SS,56,60,50,45,56,64,64,65,18,0.66,5888,2008,HOU,57,NA,NA,Miguel Tejada,941,Astros
"Ibanez, Raul",LF,NA,53,48,46,46,54,43,59,5,0.47,NA,2003,NA,NA,NA,145,Raul Ibanez,607,Royals
"Burke, Chris",LF,50,51,52,56,47,48,41,49,21,0.73,7057,2008,ARI,52,NA,NA,Chris Burke,2164,Diamondbacks
"Diaz, Matt",LF,35,24,34,38,35,39,36,47,22,0.73,7184,2007,ATL,NA,NA,NA,Matt Diaz,1771,Braves
A T. Castillo,NA,37,52,22,21,36,51,41,49,3,0.76,NA,2005,KCA,NA,NA,NA,Alberto T. Castillo,812,- - -
"Sanchez, Freddy",2B,48,52,51,44,54,45,28,62,9,0.55,6999,2008,PIT,50,NA,NA,Freddy Sanchez,1624,Pirates
"Phelps, Josh",NA,6,10,11,10,0,2,7,0,7,0.79,NA,2004,TOR,NA,26,11,Josh Phelps,1318,- - -
"Jones, Andruw",CF,64,66,57,53,76,61,66,69,34,0.53,5681,2008,LAN,61,NA,NA,Andruw Jones,96,Dodgers
"Cabrera, Orlando",SS,66,69,64,63,67,78,49,77,38,0.8,5900,2008,CHA,67,NA,NA,Orlando Cabrera,766,White Sox
"Berroa, Angel",NA,54,61,61,63,37,45,75,35,12,0.63,NA,2004,KCA,NA,26,127,Angel Berroa,591,Royals
"Easley, Damion",2B,41,40,41,43,42,38,40,46,19,0.8,4913,2007,NYN,NA,NA,NA,Damion Easley,464,Mets
"Mora, Melvin",NA,64,62,68,69,56,61,69,59,32,0.69,NA,2004,BAL,NA,32,134,Melvin Mora,157,Orioles
"Wilson, Tom",C,NA,30,31,19,30,35,33,35,7,0.73,NA,2003,NA,NA,NA,112,Tom Wilson,1328,Blue Jays
"Abercrombie, Reggie",CF,40,13,48,84,21,30,61,24,8,0.55,7713,2006,FLO,NA,NA,NA,Reggie Abercrombie,2187,Marlins
"Wilson, Craig",1B,37,32,35,39,36,36,44,39,29,0.69,6642,2006,PIT,NA,NA,NA,Craig Wilson,1015,- - -
"Bonds, Barry",LF,55,83,49,30,69,67,16,53,43,0.51,3918,2007,SFN,NA,NA,NA,Barry Bonds,1109,Giants
"Willits, Reggie",LF,60,62,68,81,56,51,37,52,13,0.71,7742,2008,ANA,66,NA,NA,Reggie Willits,5590,Angels
"Bay, Jason",NA,60,65,57,71,69,69,16,54,5,0.71,NA,2004,PIT,NA,26,109,Jason Bay,1717,Pirates
"Carroll, Jamey",2B,53,53,59,50,57,54,37,56,20,0.84,7024,2008,CLE,54,NA,NA,Jamey Carroll,1591,Indians
"Stairs, Matt",1B,33,36,28,29,35,31,35,39,70,0.74,4848,2007,TOR,NA,NA,NA,Matt Stairs,1384,Blue Jays
"Wilson, Craig",1B,10,9,14,16,2,3,15,10,10,0.71,6642,2007,ATL,NA,NA,NA,Craig Wilson,1015,Braves
J Bartlett,NA,55,47,66,73,41,50,63,41,12,0.6,NA,2005,MIN,NA,NA,NA,Jason Bartlett,8219,Twins
T Redman,NA,24,0,45,74,17,10,0,7,8,0.69,NA,2005,PIT,NA,NA,NA,Tike Redman,1003,Pirates
"Moeller, Chad",NA,41,37,30,26,52,50,48,59,9,0.59,NA,2004,MIL,NA,29,92,Chad Moeller,66,Brewers
"Pena, Tony",SS,67,74,71,54,61,65,76,65,24,0.7,7731,2008,KCA,68,NA,NA,Tony Pena,2240,Royals
"Ibanez, Raul",LF,36,33,29,31,41,40,43,44,215,0.68,5665,2006,SEA,NA,NA,NA,Raul Ibanez,607,Mariners
"Snow, J.T.",1B,NA,85,66,29,87,84,62,79,19,0.71,NA,2003,NA,NA,NA,219,J.T. Snow,1133,Giants
J Conine,NA,66,71,61,61,65,86,41,87,2,0.71,NA,2005,FLO,NA,NA,NA,Jeff Conine,131,Marlins
"Lopez, Jose",2B,38,36,36,43,28,38,44,46,146,0.71,7392,2008,SEA,36,NA,NA,Jose Lopez,3114,Mariners
"Damon, Johnny",CF,NA,73,84,85,70,36,0,32,50,0.72,NA,2003,NA,NA,NA,251,Johnny Damon,185,Red Sox
"Gomez, Carlos",CF,65,43,84,92,64,49,72,31,35,0.55,8023,2008,MIN,73,NA,NA,Carlos Gomez,4881,Twins
"Ford, Lew",LF,58,48,68,76,64,47,45,47,32,0.74,7061,2006,MIN,NA,NA,NA,Lew Ford,1724,Twins
"Hoover, Paul",C,25,22,23,22,25,30,29,30,15,0.59,6816,2008,FLO,27,NA,NA,Paul Hoover,1212,Marlins
"Evans, Nick",LF,36,27,41,48,43,25,29,35,14,0.6,8258,2008,NYN,40,NA,NA,Nick Evans,7595,Mets
"Catalanotto, Frank",LF,NA,36,44,50,39,37,23,39,12,0.73,NA,2003,NA,NA,NA,70,Frank Catalanotto,1241,Blue Jays
"Piazza, Mike",C,NA,55,34,32,51,12,22,0,14,0.64,NA,2003,NA,NA,NA,171,Mike Piazza,893,Mets
"Young, Delwyn",LF,41,40,45,53,31,26,48,44,15,0.71,7879,2008,LAN,43,NA,NA,Delwyn Young,4563,Dodgers
"Ruiz, Carlos",C,48,49,38,39,54,58,52,57,16,0.71,7757,2008,PHI,53,NA,NA,Carlos Ruiz,2579,Phillies
R Sierra,NA,14,2,11,25,5,7,41,18,11,0.63,NA,2005,NYA,NA,NA,NA,Ruben Sierra,1099,Yankees
"Helton, Todd",1B,62,77,52,35,82,69,54,61,14,0.72,5870,2006,COL,NA,NA,NA,Todd Helton,432,Rockies
"Ausmus, Brad",C,60,76,53,36,83,63,43,50,15,0.56,5095,2006,HOU,NA,NA,NA,Brad Ausmus,546,Astros
"Lowell, Mike",3B,69,82,57,35,80,83,70,84,127,0.76,6133,2008,BOS,72,NA,NA,Mike Lowell,527,Red Sox
"Diaz, Matt",LF,30,23,37,40,26,21,29,29,14,0.61,7184,2008,ATL,33,NA,NA,Matt Diaz,1771,Braves
"Hunter, Brian",CF,NA,25,68,74,25,37,22,39,6,0.72,NA,2003,NA,NA,NA,56,Brian Hunter,562,Astros
"Chavez, Raul",C,54,67,21,27,72,72,68,76,7,0.68,5697,2008,PIT,67,NA,NA,Raul Chavez,553,Pirates
"Borders, Pat",NA,28,29,17,15,39,39,27,39,17,0.68,NA,2004,SEA,NA,41,15,Pat Borders,1068,- - -
C Woodward,NA,49,49,53,51,44,46,47,54,35,0.8,NA,2005,NYN,NA,NA,NA,Chris Woodward,1329,Mets
"Laird, Gerald",C,62,60,54,57,63,72,72,68,13,0.77,7129,2008,TEX,66,NA,NA,Gerald Laird,1698,Rangers
"Bush, Homer",2B,NA,54,60,54,34,34,32,35,7,0.71,NA,2003,NA,NA,NA,28,Homer Bush,1425,- - -
"Matthews Jr., Gary",CF,79,79,83,81,83,71,72,81,16,0.83,6241,2006,TEX,NA,NA,NA,Gary Matthews Jr.,153,Rangers
"Davis, Ben",C,NA,46,38,38,44,43,62,54,8,0.71,NA,2003,NA,NA,NA,125,Ben Davis,1074,Mariners
"Herrera, Jonathan",2B,64,70,75,71,62,52,44,54,8,0.79,8235,2008,COL,65,NA,NA,Jonathan Herrera,4182,Rockies
"Quintanilla, Omar",2B,59,54,68,58,65,58,41,62,7,0.77,7615,2007,COL,NA,NA,NA,Omar Quintanilla,6335,Rockies
T Hall,NA,54,59,30,14,69,84,75,75,6,0.77,NA,2005,TBA,NA,NA,NA,Toby Hall,1210,Devil Rays
"Ortiz, David",NA,27,35,17,15,28,28,38,37,52,0.67,NA,2004,BOS,NA,29,29,David Ortiz,745,Red Sox
"Rowand, Aaron",NA,70,71,74,71,66,67,69,67,17,0.79,NA,2004,CHA,NA,27,122,Aaron Rowand,254,White Sox
"Paul, Josh",C,NA,39,52,53,34,38,39,23,6,0.72,NA,2003,NA,NA,NA,37,Josh Paul,251,- - -
J Bay,NA,55,58,52,66,67,54,33,41,13,0.76,NA,2005,PIT,NA,NA,NA,Jason Bay,1717,Pirates
T Martinez,NA,54,65,42,22,70,71,49,69,24,0.76,NA,2005,NYA,NA,NA,NA,Tino Martinez,1168,Yankees
"Bennett, Gary",C,35,39,25,22,45,37,40,48,15,0.76,5517,2006,SLN,NA,NA,NA,Gary Bennett,420,Cardinals
"Bartlett, Jason",SS,65,65,75,76,56,56,68,52,37,0.77,7388,2006,MIN,NA,NA,NA,Jason Bartlett,8219,Twins
V Guerrero,NA,56,50,47,60,40,60,95,61,30,0.61,NA,2005,ANA,NA,NA,NA,Vladimir Guerrero,778,Angels
"Amezaga, Alfredo",CF,56,50,66,65,65,45,41,48,7,0.64,6892,2006,FLO,NA,NA,NA,Alfredo Amezaga,1,Marlins
"Burke, Jamie",NA,39,41,35,33,37,37,44,49,12,0.71,NA,2004,CHA,NA,33,33,Jamie Burke,6,White Sox
J Peralta,NA,55,54,52,47,52,57,70,57,24,0.69,NA,2005,CLE,NA,NA,NA,Jhonny Peralta,1738,Indians
"Johnson, Kelly",2B,57,56,63,60,45,56,53,66,30,0.66,7558,2007,ATL,NA,NA,NA,Kelly Johnson,2234,Braves
"Stinnett, Kelly",C,22,28,19,17,25,18,19,28,13,0.57,5193,2007,SLN,NA,NA,NA,Kelly Stinnett,356,Cardinals
"Guillen, Carlos",NA,70,69,66,59,74,76,71,76,7,0.8,NA,2004,DET,NA,29,128,Carlos Guillen,1079,Tigers
"Barrett, Michael",C,NA,43,28,17,44,47,54,62,6,0.61,NA,2003,NA,NA,NA,166,Michael Barrett,762,Expos
"Grudzielanek, Mark",NA,47,50,43,45,54,49,33,56,25,0.78,NA,2004,CHN,NA,34,63,Mark Grudzielanek,653,Cubs
"Spiezio, Scott",NA,37,23,38,35,43,38,42,49,9,0.68,NA,2004,SEA,NA,32,96,Scott Spiezio,37,Mariners
"Jacobsen, Bucky",NA,20,26,15,12,13,16,42,22,8,0.73,NA,2004,SEA,NA,29,19,Bucky Jacobsen,2368,Mariners
"Dunn, Adam",LF,NA,16,28,54,25,38,58,30,6,0.71,NA,2003,NA,NA,NA,206,Adam Dunn,319,Reds
"Kent, Jeff",2B,NA,48,34,32,52,48,63,67,16,0.59,NA,2003,NA,NA,NA,268,Jeff Kent,1119,Astros
P Polanco,NA,66,72,67,50,72,74,56,73,33,0.78,NA,2005,PHI,NA,NA,NA,Placido Polanco,1176,- - -
"Reyes, Jose",SS,82,76,88,90,73,78,92,79,54,0.82,7066,2007,NYN,NA,NA,NA,Jose Reyes,1736,Mets
"Fullmer, Brad",1B,NA,13,30,43,5,14,21,18,7,0.7,NA,2003,NA,NA,NA,31,Brad Fullmer,13,Angels
"DeJesus, David",CF,57,66,59,53,65,62,32,48,28,0.77,7232,2008,KCA,57,NA,NA,David DeJesus,1825,Royals
"Woodward, Chris",3B,32,24,35,42,29,35,25,33,11,0.6,6244,2007,ATL,NA,NA,NA,Chris Woodward,1329,Braves
"Quiroz, Guillermo",NA,48,43,55,35,37,50,70,56,8,0.51,NA,2004,TOR,NA,23,13,Guillermo Quiroz,7989,Blue Jays
"Hernandez, Ramon",C,NA,55,41,31,59,63,63,55,22,0.74,NA,2003,NA,NA,NA,253,Ramon Hernandez,918,Athletics
"Gathright, Joey",NA,55,43,85,92,42,35,27,45,6,0.65,NA,2004,TBA,NA,23,14,Joey Gathright,3913,Devil Rays
"Cirillo, Jeff",3B,33,25,23,25,46,44,36,50,8,0.66,5231,2007,MIN,NA,NA,NA,Jeff Cirillo,1073,- - -
"Everett, Adam",SS,90,92,91,79,94,97,80,91,20,0.91,6389,2006,HOU,NA,NA,NA,Adam Everett,1430,Astros
"Alomar Jr., Sandy",C,24,28,13,17,32,34,35,8,8,0.74,4294,2006,LAN,NA,NA,NA,Sandy Alomar Jr.,221,- - -
"Encarnacion, Juan",RF,44,33,47,63,29,37,61,46,36,0.71,5904,2006,SLN,NA,NA,NA,Juan Encarnacion,320,Cardinals
"Nixon, Trot",RF,24,32,6,11,36,34,31,33,22,0.78,5731,2007,CLE,NA,NA,NA,Trot Nixon,204,Indians
"Ellis, Mark",2B,NA,81,79,70,79,78,57,73,27,0.78,NA,2003,NA,NA,NA,227,Mark Ellis,1443,Athletics
"Hill, Aaron",2B,61,62,62,57,61,57,69,61,57,0.75,7483,2006,TOR,NA,NA,NA,Aaron Hill,6104,Blue Jays
"Smith, Seth",RF,52,47,54,48,51,57,58,52,8,0.83,8144,2008,COL,51,NA,NA,Seth Smith,7331,Rockies
"Snow, J.T.",NA,72,88,72,37,87,80,59,77,27,0.64,NA,2004,SFN,NA,36,88,J.T. Snow,1133,Giants
"Millar, Kevin",NA,31,33,30,27,33,26,39,27,75,0.71,NA,2004,BOS,NA,33,117,Kevin Millar,529,Red Sox
"Blake, Casey",3B,46,45,42,47,40,49,60,52,49,0.66,6310,2008,LAN,50,NA,NA,Casey Blake,719,- - -
C Patterson,NA,67,57,81,90,62,54,54,55,25,0.72,NA,2005,CHN,NA,NA,NA,Corey Patterson,300,Cubs
"Barfield, Josh",2B,55,54,66,68,44,43,45,63,13,0.68,7295,2006,SDN,NA,NA,NA,Josh Barfield,3622,Padres
"Wilson, Enrique",NA,35,28,39,40,34,32,29,42,22,0.63,NA,2004,NYA,NA,31,70,Enrique Wilson,858,Yankees
G Gross,NA,54,43,52,56,49,56,69,64,33,0.74,NA,2005,TOR,NA,NA,NA,Gabe Gross,2184,Blue Jays
L A. Gonzalez,NA,54,48,59,54,59,53,46,58,5,0.77,NA,2005,COL,NA,NA,NA,Luis A. Gonzalez,1860,Rockies
"Moeller, Chad",C,31,28,29,27,38,32,28,35,13,0.61,6504,2006,MIL,NA,NA,NA,Chad Moeller,66,Brewers
"Smith, Jason",3B,32,25,35,42,30,29,36,25,19,0.73,6745,2007,TOR,NA,NA,NA,Jason Smith,1227,- - -
"Tucker, Michael",RF,NA,37,62,62,34,43,27,33,5,0.51,NA,2003,NA,NA,NA,101,Michael Tucker,635,Royals
"Uribe, Juan",NA,69,72,73,67,69,62,81,59,17,0.67,NA,2004,CHA,NA,25,122,Juan Uribe,454,White Sox
"Cantu, Jorge",2B,30,23,24,31,30,24,48,45,10,0.58,7380,2006,TBA,NA,NA,NA,Jorge Cantu,2521,Devil Rays
A Rodriguez,NA,75,74,68,70,71,80,87,88,45,0.69,NA,2005,NYA,NA,NA,NA,Alex Rodriguez,1274,Yankees
"Posada, Jorge",C,40,52,31,27,44,49,37,41,39,0.58,5502,2008,NYA,43,NA,NA,Jorge Posada,841,Yankees
C Guillen,NA,63,72,59,44,71,75,54,66,27,0.81,NA,2005,DET,NA,NA,NA,Carlos Guillen,1079,Tigers
"Bynum, Freddie",LF,43,31,67,80,23,22,33,32,13,0.67,7641,2006,CHN,NA,NA,NA,Freddie Bynum,2099,Cubs
"Gathright, Joey",CF,47,29,77,92,43,30,7,21,25,0.74,7348,2008,KCA,60,NA,NA,Joey Gathright,3913,Royals
"Saenz, Olmedo",NA,20,4,5,16,37,24,26,45,4,0.81,NA,2004,LAN,NA,34,15,Olmedo Saenz,937,Dodgers
M Tejada,NA,71,72,71,62,62,76,88,79,57,0.73,NA,2005,BAL,NA,NA,NA,Miguel Tejada,941,Orioles
M Tucker,NA,41,31,46,65,38,38,34,33,11,0.7,NA,2005,SFN,NA,NA,NA,Michael Tucker,635,- - -
G Matthews Jr.,NA,60,60,69,72,53,58,50,51,23,0.76,NA,2005,TEX,NA,NA,NA,Gary Matthews Jr.,153,Rangers
"Cameron, Mike",CF,74,85,81,71,79,67,56,65,27,0.79,5492,2008,MIL,75,NA,NA,Mike Cameron,1070,Brewers
"Phillips, Brandon",2B,NA,65,76,73,68,67,73,62,7,0.8,NA,2003,NA,NA,NA,110,Brandon Phillips,791,Indians
"Damon, Johnny",CF,48,56,65,67,58,31,0,24,57,0.68,5484,2007,NYA,NA,NA,NA,Johnny Damon,185,Yankees
"Crede, Joe",3B,61,77,62,40,74,63,60,36,36,0.59,6411,2008,CHA,60,NA,NA,Joe Crede,227,White Sox
"Norton, Greg",NA,9,0,16,14,10,4,7,10,3,0.69,NA,2004,DET,NA,32,20,Greg Norton,1388,Tigers
M Sweeney,NA,18,20,17,24,13,4,32,23,10,0.77,NA,2005,KCA,NA,NA,NA,Mike Sweeney,634,Royals
"Francoeur, Jeff",RF,71,60,58,68,67,88,93,84,42,0.74,7594,2007,ATL,NA,NA,NA,Jeff Francoeur,4792,Braves
"Bradley, Milton",RF,69,64,78,77,62,63,69,66,43,0.75,6406,2006,OAK,NA,NA,NA,Milton Bradley,369,Athletics
"Delgado, Carlos",NA,38,47,36,22,41,40,39,39,24,0.65,NA,2004,TOR,NA,32,115,Carlos Delgado,1297,Blue Jays
"Vina, Fernando",2B,NA,63,79,55,82,81,53,75,8,0.68,NA,2003,NA,NA,NA,198,Fernando Vina,1189,Cardinals
"Burnitz, Jeromy",RF,NA,47,43,49,46,58,68,50,13,0.62,NA,2003,NA,NA,NA,167,Jeromy Burnitz,867,- - -
"Nixon, Trot",RF,NA,66,61,57,64,63,65,57,47,0.71,NA,2003,NA,NA,NA,241,Trot Nixon,204,Red Sox
"Bautista, Jose",CF,55,51,64,57,46,46,68,52,18,0.69,7264,2006,PIT,NA,NA,NA,Jose Bautista,1887,Pirates
"Klesko, Ryan",NA,22,6,29,50,10,7,37,22,5,0.56,NA,2004,SDN,NA,33,95,Ryan Klesko,1041,Padres
F Sanchez,NA,61,77,60,57,59,54,50,67,9,0.75,NA,2005,PIT,NA,NA,NA,Freddy Sanchez,1624,Pirates
"Thorman, Scott",LF,30,34,32,43,36,21,15,18,3,0.52,7798,2006,ATL,NA,NA,NA,Scott Thorman,2238,Braves
J Snow,NA,65,83,55,15,88,82,58,73,14,0.63,NA,2005,SFN,NA,NA,NA,J.T. Snow,1133,Giants
"Cabrera, Miguel",NA,40,26,28,32,37,50,80,54,6,0.67,NA,2004,FLO,NA,21,151,Miguel Cabrera,1744,Marlins
E Chavez,NA,78,87,78,61,90,86,68,69,33,0.75,NA,2005,OAK,NA,NA,NA,Eric Chavez,906,Athletics
"Woodward, Chris",SS,NA,43,46,49,25,38,54,37,12,0.7,NA,2003,NA,NA,NA,179,Chris Woodward,1329,Blue Jays
"Saenz, Olmedo",1B,NA,21,12,18,1,22,36,21,7,0.72,NA,2003,NA,NA,NA,20,Olmedo Saenz,937,Athletics
G Sheffield,NA,40,28,27,44,31,52,68,53,35,0.69,NA,2005,NYA,NA,NA,NA,Gary Sheffield,114,Yankees
"Phillips, Brandon",2B,83,87,86,79,83,82,77,87,54,0.83,6857,2008,CIN,84,NA,NA,Brandon Phillips,791,Reds
"Guerrero, Vladimir",RF,52,50,43,49,28,67,94,60,32,0.63,5737,2007,ANA,NA,NA,NA,Vladimir Guerrero,778,Angels
"Utley, Chase",2B,68,78,70,64,64,69,57,64,21,0.74,7072,2008,PHI,69,NA,NA,Chase Utley,1679,Phillies
"Lugo, Julio",SS,54,51,67,75,38,41,56,35,269,0.71,6451,2007,BOS,NA,NA,NA,Julio Lugo,565,Red Sox
"Guillen, Carlos",SS,56,65,59,55,54,54,57,41,62,0.65,6105,2006,DET,NA,NA,NA,Carlos Guillen,1079,Tigers
"Glaus, Troy",3B,52,56,36,24,58,64,73,71,96,0.69,6063,2007,TOR,NA,NA,NA,Troy Glaus,15,Blue Jays
"Santiago, Benito",C,NA,43,26,23,31,51,46,35,15,0.44,NA,2003,NA,NA,NA,219,Benito Santiago,1130,Giants
M Stairs,NA,20,32,6,9,25,21,34,23,8,0.63,NA,2005,KCA,NA,NA,NA,Matt Stairs,1384,Royals
"Bergeron, Peter",NA,62,56,55,76,71,60,48,69,3,0.31,NA,2004,MON,NA,27,11,Peter Bergeron,763,Expos
M Redmond,NA,50,54,34,33,60,65,58,65,10,0.78,NA,2005,MIN,NA,NA,NA,Mike Redmond,538,Twins
"Brown, Roosevelt",LF,NA,38,48,50,49,38,39,39,6,0.66,NA,2003,NA,NA,NA,30,Roosevelt Brown,268,Cubs
"T. Castillo, Alberto",C,23,25,15,18,24,22,32,30,16,0.55,5403,2007,BAL,NA,NA,NA,Alberto T. Castillo,812,Orioles
"McMillon, Billy",NA,26,17,24,28,26,38,21,31,10,0.76,NA,2004,OAK,NA,33,15,Billy McMillon,834,Athletics
"Harvey, Ken",NA,30,26,27,31,37,35,32,21,9,0.44,NA,2004,KCA,NA,26,73,Ken Harvey,604,Royals
"Cust, Jack",LF,20,14,20,27,12,20,33,26,31,0.7,6626,2008,OAK,21,NA,NA,Jack Cust,1564,Athletics
"Phillips, Jason",NA,43,47,31,13,51,53,57,57,11,0.77,NA,2004,NYN,NA,28,101,Jason Phillips,892,Mets
"Gardner, Brett",CF,66,61,82,88,54,56,51,53,29,0.74,8289,2008,NYA,72,NA,NA,Brett Gardner,9927,Yankees
O Cabrera,NA,73,72,70,67,72,81,72,80,31,0.77,NA,2005,ANA,NA,NA,NA,Orlando Cabrera,766,Angels
"Tulowitzki, Troy",SS,77,79,72,58,78,81,95,83,11,0.8,7850,2008,COL,78,NA,NA,Troy Tulowitzki,3531,Rockies
"Mueller, Bill",3B,NA,58,53,44,56,59,49,69,37,0.73,NA,2003,NA,NA,NA,210,Bill Mueller,295,Red Sox
"Taveras, Willy",CF,64,59,84,92,63,44,37,48,12,0.68,7269,2008,COL,73,NA,NA,Willy Taveras,1876,Rockies
"Wood, Jason",1B,41,56,31,28,50,40,41,39,3,0.69,5971,2007,FLO,NA,NA,NA,Jason Wood,1999,Marlins
"Bradley, Milton",NA,70,69,75,77,68,67,62,63,18,0.81,NA,2004,LAN,NA,26,132,Milton Bradley,369,Dodgers
"Ross, David",C,33,39,34,29,23,36,39,34,24,0.77,6956,2006,CIN,NA,NA,NA,David Ross,1551,Reds
"Boone, Bret",2B,NA,69,68,55,77,76,67,76,19,0.77,NA,2003,NA,NA,NA,279,Bret Boone,1067,Mariners
"Bautista, Jose",3B,55,53,53,47,57,56,68,56,11,0.76,7264,2007,PIT,NA,NA,NA,Jose Bautista,1887,Pirates
R Klesko,NA,26,17,22,35,18,25,38,39,12,0.6,NA,2005,SDN,NA,NA,NA,Ryan Klesko,1041,Padres
"Patterson, Corey",CF,73,72,87,90,71,66,52,54,25,0.78,6400,2006,BAL,NA,NA,NA,Corey Patterson,300,Orioles
"Sweeney, Mark",1B,23,28,19,25,22,19,19,28,6,0.71,5473,2007,SFN,NA,NA,NA,Mark Sweeney,1408,- - -
"Uggla, Dan",2B,59,66,57,56,58,56,54,70,7,0.58,7692,2006,FLO,NA,NA,NA,Dan Uggla,3442,Marlins
"Lowell, Mike",3B,71,85,60,39,88,82,68,81,123,0.75,6133,2006,BOS,NA,NA,NA,Mike Lowell,527,Red Sox
"Davis, Rajai",CF,70,62,84,91,69,61,48,57,21,0.67,7835,2008,OAK,76,NA,NA,Rajai Davis,3708,- - -
