"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"2006","Joe Mauer","Twins","140","608","13","86","84","8","13.0 %","8.9 %",".159",".364",".347",".429",".507",".396","141","0.4","33.0","6.2","5.8","1857"
"2003","Nomar Garciaparra","Red Sox","156","719","28","120","105","19","5.4 %","8.5 %",".223",".294",".301",".345",".524",".369","124","5.9","27.1","7.2","5.8","190"
"2000","Mike Piazza","Mets","136","545","38","90","113","4","10.6 %","12.7 %",".290",".313",".324",".398",".614",".423","153","0.0","39.4","5.3","5.8","893"
"2008","Alex Rodriguez","Yankees","138","594","35","104","103","18","10.9 %","19.7 %",".271",".328",".302",".392",".573",".409","152","2.1","40.4","-2.3","5.8","1274"
"2009","Adrian Gonzalez","Padres","160","681","40","90","99","1","17.5 %","16.0 %",".274",".278",".277",".407",".551",".404","156","-5.8","41.3","-5.1","5.8","1908"
"2006","Carlos Guillen","Tigers","153","622","19","100","85","20","11.4 %","14.0 %",".199",".351",".320",".400",".519",".391","137","1.0","30.3","8.3","5.8","1079"
"2006","Vernon Wells","Blue Jays","154","677","32","91","106","17","8.0 %","13.3 %",".239",".307",".303",".357",".542",".380","128","3.4","27.8","8.9","5.8","1326"
"2000","Sammy Sosa","Cubs","156","705","50","106","138","7","12.9 %","23.8 %",".315",".363",".320",".406",".634",".428","154","-0.4","51.1","-12.0","5.8","302"
"2005","David Wright","Mets","160","657","27","99","102","17","11.0 %","17.2 %",".217",".340",".306",".388",".523",".393","142","4.3","38.8","-2.7","5.8","3787"
"2001","Corey Koskie","Twins","153","649","26","100","103","27","10.5 %","18.2 %",".212",".304",".276",".362",".488",".361","119","2.8","17.9","18.0","5.8","738"
"2004","Bobby Abreu","Phillies","159","713","30","118","105","40","17.8 %","16.3 %",".242",".329",".301",".428",".544",".413","148","11.2","55.7","-20.9","5.7","945"
"2003","Ichiro Suzuki","Mariners","159","725","13","111","62","34","5.0 %","9.5 %",".124",".333",".312",".352",".436",".341","112","8.4","18.9","14.0","5.7","1101"
"2006","Jose Reyes","Mets","153","703","19","122","81","64","7.5 %","11.5 %",".187",".320",".300",".354",".487",".358","116","9.0","23.6","12.0","5.7","1736"
"2005","Jason Bay","Pirates","162","707","32","110","101","21","13.4 %","20.1 %",".254",".350",".306",".402",".559",".407","150","9.3","53.4","-19.6","5.7","1717"
"2008","Joe Mauer","Twins","146","633","9","98","85","1","13.3 %","7.9 %",".123",".342",".328",".413",".451",".379","133","2.8","28.7","6.9","5.7","1857"
"2002","Eric Chavez","Athletics","153","653","34","87","109","8","10.0 %","18.2 %",".238",".293",".275",".348",".513",".364","125","2.9","22.6","12.2","5.7","906"
"2007","Jorge Posada","Yankees","144","589","20","91","90","2","12.6 %","16.6 %",".206",".386",".338",".426",".543",".418","157","-7.4","34.6","2.9","5.6","841"
"2008","Evan Longoria","Rays","122","508","27","67","85","7","9.1 %","24.0 %",".259",".309",".272",".343",".531",".370","128","3.3","21.1","17.9","5.6","9368"
"2006","Ichiro Suzuki","Mariners","161","752","9","110","49","45","6.5 %","9.4 %",".094",".348",".322",".370",".416",".339","106","11.3","16.9","15.2","5.6","1101"
